stem,label,rgb_path,ms_path,hs_path
Health_hyper_142,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_142.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_142.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_142.tif
Health_hyper_143,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_143.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_143.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_143.tif
Health_hyper_144,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_144.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_144.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_144.tif
Health_hyper_145,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_145.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_145.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_145.tif
Health_hyper_146,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_146.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_146.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_146.tif
Health_hyper_147,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_147.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_147.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_147.tif
Health_hyper_148,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_148.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_148.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_148.tif
Health_hyper_149,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_149.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_149.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_149.tif
Health_hyper_15,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_15.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_15.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_15.tif
Health_hyper_150,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_150.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_150.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_150.tif
Health_hyper_151,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_151.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_151.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_151.tif
Health_hyper_152,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_152.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_152.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_152.tif
Health_hyper_154,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_154.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_154.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_154.tif
Health_hyper_155,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_155.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_155.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_155.tif
Health_hyper_156,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_156.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_156.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_156.tif
Health_hyper_157,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_157.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_157.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_157.tif
Health_hyper_158,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_158.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_158.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_158.tif
Health_hyper_159,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_159.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_159.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_159.tif
Health_hyper_16,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_16.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_16.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_16.tif
Health_hyper_160,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_160.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_160.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_160.tif
Health_hyper_161,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_161.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_161.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_161.tif
Health_hyper_162,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_162.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_162.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_162.tif
Health_hyper_163,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_163.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_163.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_163.tif
Health_hyper_164,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_164.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_164.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_164.tif
Health_hyper_165,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_165.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_165.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_165.tif
Health_hyper_166,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_166.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_166.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_166.tif
Health_hyper_168,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_168.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_168.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_168.tif
Health_hyper_169,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_169.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_169.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_169.tif
Health_hyper_17,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_17.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_17.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_17.tif
Health_hyper_170,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_170.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_170.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_170.tif
Health_hyper_171,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_171.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_171.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_171.tif
Health_hyper_172,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_172.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_172.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_172.tif
Health_hyper_173,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_173.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_173.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_173.tif
Health_hyper_174,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_174.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_174.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_174.tif
Health_hyper_175,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_175.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_175.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_175.tif
Health_hyper_176,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_176.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_176.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_176.tif
Health_hyper_177,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_177.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_177.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_177.tif
Health_hyper_178,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_178.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_178.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_178.tif
Health_hyper_179,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_179.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_179.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_179.tif
Health_hyper_18,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_18.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_18.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_18.tif
Health_hyper_180,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_180.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_180.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_180.tif
Health_hyper_181,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_181.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_181.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_181.tif
Health_hyper_182,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_182.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_182.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_182.tif
Health_hyper_183,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_183.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_183.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_183.tif
Health_hyper_184,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_184.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_184.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_184.tif
Health_hyper_185,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_185.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_185.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_185.tif
Health_hyper_186,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_186.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_186.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_186.tif
Health_hyper_187,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_187.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_187.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_187.tif
Health_hyper_188,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_188.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_188.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_188.tif
Health_hyper_189,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_189.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_189.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_189.tif
Health_hyper_19,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_19.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_19.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_19.tif
